Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2023/24;Plagemann;Kester;18;1869;26;90;90;73;0;90;90;23;75;90;90;90;90;75;90;53;37;71;90;0;90;90;90;45;75;21;45;16;90;0;0;0;0;;;
2023/24;Rehr;Hannes;19;1396;23;90;45;90;0;90;83;90;30;18;8;1;68;90;80;1;90;76;0;0;1;0;45;90;81;49;0;0;0;90;90;0;0;;;
2023/24;Rodriguez da Costa;Daniel;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Schomaker;Jonas;21;860;25;75;9;36;0;0;11;45;16;30;50;14;45;64;16;0;25;21;61;0;13;34;20;21;70;4;0;7;10;86;77;0;0;;;
2023/24;Schomaker;Marius;22;1972;27;90;90;90;0;63;90;90;70;71;41;82;90;0;75;80;54;90;61;0;90;76;71;60;58;27;90;28;90;65;90;0;0;;;
2023/24;Seker;Fernando;23;20;3;0;0;18;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Tillmann;Luca;24;1570;21;45;90;90;0;90;90;90;27;76;83;77;0;0;80;90;75;90;83;0;0;0;21;68;90;90;90;35;0;0;0;0;0;;;
2023/24;Uzun;Emrullah;25;267;9;45;57;55;0;45;5;15;0;15;3;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Vilas Boas;Leandro;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Walbaum;Jan;27;2042;27;90;82;65;0;90;80;76;61;90;88;90;90;90;90;63;90;15;90;0;81;78;74;24;90;64;90;90;21;90;0;0;0;;;
2023/24;Wenkers;Dominik;28;1186;23;83;75;90;0;69;8;73;0;20;51;1;49;0;11;90;0;0;61;0;36;15;45;0;21;90;45;90;70;36;57;0;0;;;
2023/24;Wenning;Tom;29;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;;;
2022/23;Berentzen;Henrik;2;449;9;0;0;0;25;32;16;90;45;61;45;90;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2022/23;Böggemann;Janes;3;2129;26;90;60;90;66;59;75;90;90;83;90;21;0;0;90;90;0;90;0;62;90;90;0;90;90;85;90;88;0;90;90;90;90;;;
2022/23;Böhmer;Frederic;4;1861;23;56;90;90;55;90;0;90;90;90;90;0;78;90;90;0;90;90;62;90;71;0;90;90;90;90;67;32;0;0;0;0;0;;;
